token,bucket,from_le10,reuse_from_le10,gate_a,degraded,plan_idx,pair,noc_total_flip,ttc_total_flip,kendall_tau_b
61a68d58ad285312,collision,False,False,False,True,4995,replay_vs_nexus,1634,1578,0.31652786690878654
61a68d58ad285312,collision,False,False,False,True,4995,idm_vs_nexus,1669,1534,0.32932547225274345
160ce25b71c05a9c,collision,False,False,True,False,7823,replay_vs_idm,54,2791,0.9563359247109229
160ce25b71c05a9c,collision,False,False,True,False,7823,replay_vs_nexus,174,2894,0.9421569764661545
160ce25b71c05a9c,collision,False,False,True,False,7823,idm_vs_nexus,204,139,0.9777988027256026
18a37481e755500e,collision,False,False,True,False,2228,replay_vs_idm,0,0,1.0
18a37481e755500e,collision,False,False,True,False,2228,replay_vs_nexus,17,4,0.9924084374586104
18a37481e755500e,collision,False,False,True,False,2228,idm_vs_nexus,17,4,0.9924084374586104
04b64c9b37f455f8,collision,False,False,True,False,6352,replay_vs_idm,135,23,0.9973168545437355
04b64c9b37f455f8,collision,False,False,True,False,6352,replay_vs_nexus,280,187,0.9322455831617704
04b64c9b37f455f8,collision,False,False,True,False,6352,idm_vs_nexus,289,188,0.9329471059819817
11ad169e82fa5ded,collision,False,False,False,True,4599,replay_vs_idm,88,53,0.9666312529834327
11ad169e82fa5ded,collision,False,False,False,True,4599,replay_vs_nexus,165,121,0.9368583157601007
11ad169e82fa5ded,collision,False,False,False,True,4599,idm_vs_nexus,251,172,0.9051573847689691
5981605a73a55c75,collision,False,False,True,False,4283,replay_vs_idm,53,39,0.9990700607645575
5981605a73a55c75,collision,False,False,True,False,4283,replay_vs_nexus,1815,112,0.6042265878880686
5981605a73a55c75,collision,False,False,True,False,4283,idm_vs_nexus,1854,129,0.6043245075340746
6c341178033756b7,collision,False,False,True,False,6553,replay_vs_idm,13,666,0.8832925372232405
6c341178033756b7,collision,False,False,True,False,6553,replay_vs_nexus,118,640,0.8894523496173896
6c341178033756b7,collision,False,False,True,False,6553,idm_vs_nexus,127,230,0.9680942448651506
07ddd211494e5080,collision,False,False,True,False,5940,replay_vs_idm,267,272,0.954587401461422
07ddd211494e5080,collision,False,False,True,False,5940,replay_vs_nexus,0,0,1.0
07ddd211494e5080,collision,False,False,True,False,5940,idm_vs_nexus,267,272,0.954587401461422
221bd26c26935eca,collision,False,False,False,True,2198,replay_vs_idm,,,
221bd26c26935eca,collision,False,False,False,True,2198,replay_vs_nexus,,,
221bd26c26935eca,collision,False,False,False,True,2198,idm_vs_nexus,,,
03c3d0be71495130,collision,False,False,False,True,1692,replay_vs_idm,,,
03c3d0be71495130,collision,False,False,False,True,1692,replay_vs_nexus,,,
03c3d0be71495130,collision,False,False,False,True,1692,idm_vs_nexus,,,
11e75aa566b754c5,collision,False,False,True,False,3976,replay_vs_idm,0,0,1.0
11e75aa566b754c5,collision,False,False,True,False,3976,replay_vs_nexus,315,140,0.900018727752921
11e75aa566b754c5,collision,False,False,True,False,3976,idm_vs_nexus,315,140,0.900018727752921
082bd81928755688,collision,False,False,True,False,4220,replay_vs_idm,0,0,1.0
082bd81928755688,collision,False,False,True,False,4220,replay_vs_nexus,72,78,0.9802178780118126
082bd81928755688,collision,False,False,True,False,4220,idm_vs_nexus,72,78,0.9802178780118126
38e8a4b341b7575c,ep,True,True,True,False,1804,replay_vs_idm,0,0,1.0
38e8a4b341b7575c,ep,True,True,True,False,1804,replay_vs_nexus,1311,1355,0.5296000698958359
38e8a4b341b7575c,ep,True,True,True,False,1804,idm_vs_nexus,1311,1355,0.5296000698958359
1ecef78a8bb85ddd,ep,True,False,False,True,4523,replay_vs_idm,,,
1ecef78a8bb85ddd,ep,True,False,False,True,4523,replay_vs_nexus,,,
1ecef78a8bb85ddd,ep,True,False,False,True,4523,idm_vs_nexus,,,
0a6c2c37c5335ad2,ep,True,False,False,True,4477,replay_vs_idm,,,
0a6c2c37c5335ad2,ep,True,False,False,True,4477,replay_vs_nexus,,,
0a6c2c37c5335ad2,ep,True,False,False,True,4477,idm_vs_nexus,,,
1836fa024ead5671,ep,True,True,True,False,1842,replay_vs_idm,0,0,1.0
1836fa024ead5671,ep,True,True,True,False,1842,replay_vs_nexus,5,2,0.9986020968334369
1836fa024ead5671,ep,True,True,True,False,1842,idm_vs_nexus,5,2,0.9986020968334369
49218363cc6b530f,ep,True,True,True,False,898,replay_vs_idm,0,0,1.0
49218363cc6b530f,ep,True,True,True,False,898,replay_vs_nexus,1,0,1.0
49218363cc6b530f,ep,True,True,True,False,898,idm_vs_nexus,1,0,1.0
64e4220c28b95dcf,ep,False,False,True,False,4557,replay_vs_idm,0,0,1.0
64e4220c28b95dcf,ep,False,False,True,False,4557,replay_vs_nexus,1,1,0.9999984253280834
64e4220c28b95dcf,ep,False,False,True,False,4557,idm_vs_nexus,1,1,0.9999984253280834
55490fa5c1345476,ep,False,False,True,False,3055,replay_vs_idm,373,250,0.9938500079789366
55490fa5c1345476,ep,False,False,True,False,3055,replay_vs_nexus,202,174,0.9780665007556106
55490fa5c1345476,ep,False,False,True,False,3055,idm_vs_nexus,483,350,0.9799013096917327
185dc66ec14d596c,ep,False,False,True,False,4309,replay_vs_idm,2,0,1.0
185dc66ec14d596c,ep,False,False,True,False,4309,replay_vs_nexus,719,802,0.851901769183611
185dc66ec14d596c,ep,False,False,True,False,4309,idm_vs_nexus,717,802,0.851901769183611
190cae7cabd55f50,ep,False,False,False,True,7629,replay_vs_idm,,,
190cae7cabd55f50,ep,False,False,False,True,7629,replay_vs_nexus,,,
190cae7cabd55f50,ep,False,False,False,True,7629,idm_vs_nexus,,,
929c65cfdd615e87,ep,False,False,True,False,7672,replay_vs_idm,3,2,1.0
929c65cfdd615e87,ep,False,False,True,False,7672,replay_vs_nexus,13,13,0.9992812773720271
929c65cfdd615e87,ep,False,False,True,False,7672,idm_vs_nexus,16,15,0.9992812773720271
19432f1b6e2858f5,ep,False,False,False,True,7272,replay_vs_idm,,,
19432f1b6e2858f5,ep,False,False,False,True,7272,replay_vs_nexus,,,
19432f1b6e2858f5,ep,False,False,False,True,7272,idm_vs_nexus,,,
8aab1d0397465557,ep,False,False,False,True,5378,replay_vs_idm,,,
8aab1d0397465557,ep,False,False,False,True,5378,replay_vs_nexus,,,
8aab1d0397465557,ep,False,False,False,True,5378,idm_vs_nexus,,,
32b1e375e496597d,ep,False,False,True,False,1280,replay_vs_idm,0,0,1.0
32b1e375e496597d,ep,False,False,True,False,1280,replay_vs_nexus,121,94,0.972098616575453
32b1e375e496597d,ep,False,False,True,False,1280,idm_vs_nexus,121,94,0.972098616575453
291f9fb96513531d,ep,False,False,False,True,6509,replay_vs_idm,,,
291f9fb96513531d,ep,False,False,False,True,6509,replay_vs_nexus,,,
291f9fb96513531d,ep,False,False,False,True,6509,idm_vs_nexus,,,
27888e5904615499,ep,False,False,True,False,6731,replay_vs_idm,0,0,1.0
27888e5904615499,ep,False,False,True,False,6731,replay_vs_nexus,0,0,1.0
27888e5904615499,ep,False,False,True,False,6731,idm_vs_nexus,0,0,1.0
0877c1e35805579c,ep,False,False,False,True,623,replay_vs_idm,,,
0877c1e35805579c,ep,False,False,False,True,623,replay_vs_nexus,,,
0877c1e35805579c,ep,False,False,False,True,623,idm_vs_nexus,,,
32322d5141715ff8,ep,False,False,True,False,2327,replay_vs_idm,0,0,1.0
32322d5141715ff8,ep,False,False,True,False,2327,replay_vs_nexus,403,409,0.8919305128044273
32322d5141715ff8,ep,False,False,True,False,2327,idm_vs_nexus,403,409,0.8919305128044273
9904435837f6575f,ep,False,False,False,True,6192,replay_vs_idm,0,0,1.0
9904435837f6575f,ep,False,False,False,True,6192,replay_vs_nexus,241,208,0.979721315849075
9904435837f6575f,ep,False,False,False,True,6192,idm_vs_nexus,241,208,0.979721315849075
801cd45a49295ce9,ep,False,False,True,False,4525,replay_vs_idm,212,173,1.0
801cd45a49295ce9,ep,False,False,True,False,4525,replay_vs_nexus,150,129,1.0
801cd45a49295ce9,ep,False,False,True,False,4525,idm_vs_nexus,134,86,1.0
de3e10d777025fbc,ep,False,False,False,True,3298,replay_vs_idm,,,
de3e10d777025fbc,ep,False,False,False,True,3298,replay_vs_nexus,,,
de3e10d777025fbc,ep,False,False,False,True,3298,idm_vs_nexus,,,
599725a7061a5741,ep,False,False,True,False,7820,replay_vs_idm,100,7,0.9828841731567235
599725a7061a5741,ep,False,False,True,False,7820,replay_vs_nexus,176,121,0.947394300529909
599725a7061a5741,ep,False,False,True,False,7820,idm_vs_nexus,144,114,0.9566421371284777
79312446c13c5a14,ep,False,False,True,False,2907,replay_vs_idm,720,399,0.963979644064585
79312446c13c5a14,ep,False,False,True,False,2907,replay_vs_nexus,392,276,0.9408833344022353
79312446c13c5a14,ep,False,False,True,False,2907,idm_vs_nexus,502,351,0.9763086048336965
34fd3a3e7a1e5008,ep,False,False,True,False,2961,replay_vs_idm,0,0,1.0
34fd3a3e7a1e5008,ep,False,False,True,False,2961,replay_vs_nexus,427,437,0.8706142368297071
34fd3a3e7a1e5008,ep,False,False,True,False,2961,idm_vs_nexus,427,437,0.8706142368297071
e818d53c9628556e,ep,False,False,True,False,2273,replay_vs_idm,0,0,1.0
e818d53c9628556e,ep,False,False,True,False,2273,replay_vs_nexus,1308,1329,0.6909715467723686
e818d53c9628556e,ep,False,False,True,False,2273,idm_vs_nexus,1308,1329,0.6909715467723686
2ae75b3fc86e5896,ep,False,False,True,False,4913,replay_vs_idm,3,3,1.0
2ae75b3fc86e5896,ep,False,False,True,False,4913,replay_vs_nexus,129,112,0.9828734200777396
2ae75b3fc86e5896,ep,False,False,True,False,4913,idm_vs_nexus,128,113,0.9828734200777396
9b131890f4585196,collision,False,False,True,False,5610,replay_vs_idm,0,0,1.0
9b131890f4585196,collision,False,False,True,False,5610,replay_vs_nexus,52,70,0.9940069478099703
9b131890f4585196,collision,False,False,True,False,5610,idm_vs_nexus,52,70,0.9940069478099703
24c304d148185e84,collision,False,False,False,True,5941,replay_vs_idm,,,
24c304d148185e84,collision,False,False,False,True,5941,replay_vs_nexus,,,
24c304d148185e84,collision,False,False,False,True,5941,idm_vs_nexus,,,
3474b21e76d45316,collision,False,False,False,True,4150,replay_vs_idm,,,
3474b21e76d45316,collision,False,False,False,True,4150,replay_vs_nexus,,,
3474b21e76d45316,collision,False,False,False,True,4150,idm_vs_nexus,,,
1e8c214d813954a5,collision,False,False,True,False,6508,replay_vs_idm,0,0,1.0
1e8c214d813954a5,collision,False,False,True,False,6508,replay_vs_nexus,168,165,0.9424595239909395
1e8c214d813954a5,collision,False,False,True,False,6508,idm_vs_nexus,168,165,0.9424595239909395
0ecec41277a8548a,collision,False,False,True,False,7774,replay_vs_idm,292,167,0.9399109501383595
0ecec41277a8548a,collision,False,False,True,False,7774,replay_vs_nexus,351,324,0.9187228696399903
0ecec41277a8548a,collision,False,False,True,False,7774,idm_vs_nexus,479,389,0.9180841027500314
0528e164f23c5529,collision,False,False,True,False,3354,replay_vs_idm,10,15,0.9974341365553798
0528e164f23c5529,collision,False,False,True,False,3354,replay_vs_nexus,1435,1629,0.9932816346478138
0528e164f23c5529,collision,False,False,True,False,3354,idm_vs_nexus,1445,1642,0.9909061739852686
17c973648597575e,collision,False,False,False,True,2273,replay_vs_idm,,,
17c973648597575e,collision,False,False,False,True,2273,replay_vs_nexus,,,
17c973648597575e,collision,False,False,False,True,2273,idm_vs_nexus,,,
537c9917c20a56a9,collision,False,False,True,False,4910,replay_vs_idm,0,0,1.0
537c9917c20a56a9,collision,False,False,True,False,4910,replay_vs_nexus,0,0,1.0
537c9917c20a56a9,collision,False,False,True,False,4910,idm_vs_nexus,0,0,1.0
8f97cba77de256df,ep,False,False,False,True,7342,replay_vs_idm,,,
8f97cba77de256df,ep,False,False,False,True,7342,replay_vs_nexus,,,
8f97cba77de256df,ep,False,False,False,True,7342,idm_vs_nexus,,,
cc30f7e179a757b8,ep,False,False,True,False,1356,replay_vs_idm,686,709,0.8940159232903885
cc30f7e179a757b8,ep,False,False,True,False,1356,replay_vs_nexus,439,450,0.9524383271885349
cc30f7e179a757b8,ep,False,False,True,False,1356,idm_vs_nexus,1111,1151,0.8573366531976936
fd06be612af256c4,ep,False,False,False,True,4706,replay_vs_idm,132,13,0.9894364892376483
fd06be612af256c4,ep,False,False,False,True,4706,replay_vs_nexus,127,60,0.9812055639386199
fd06be612af256c4,ep,False,False,False,True,4706,idm_vs_nexus,153,65,0.9755433330542969
94f83439fcae590c,ep,False,False,False,True,6897,replay_vs_idm,,,
94f83439fcae590c,ep,False,False,False,True,6897,replay_vs_nexus,,,
94f83439fcae590c,ep,False,False,False,True,6897,idm_vs_nexus,,,
721751577c985b51,ep,False,False,False,True,6465,replay_vs_idm,,,
721751577c985b51,ep,False,False,False,True,6465,replay_vs_nexus,,,
721751577c985b51,ep,False,False,False,True,6465,idm_vs_nexus,,,
7ef64baec0a45e86,ep,False,False,True,False,1777,replay_vs_idm,146,195,0.9592157765714703
7ef64baec0a45e86,ep,False,False,True,False,1777,replay_vs_nexus,25,26,0.9921680207175875
7ef64baec0a45e86,ep,False,False,True,False,1777,idm_vs_nexus,143,195,0.9586843902353971
42fe4d68e9e450d7,ep,False,False,False,True,6290,replay_vs_idm,,,
42fe4d68e9e450d7,ep,False,False,False,True,6290,replay_vs_nexus,,,
42fe4d68e9e450d7,ep,False,False,False,True,6290,idm_vs_nexus,,,
